feature_name,original_name,feature_category,source_column,encoding_rule,description_zh
lab_measured_monocyte_count,单核细胞计数,lab_measured,laboratoryName,"laboratory record present=1, absent=0",是否测量单核细胞计数
lab_value_monocyte_count,单核细胞计数,lab_value,standardResultNorm -> standardResult,numeric standardResultNorm; numeric standardResult fallback,单核细胞计数标准化数值结果
lab_normalized_monocyte_count,单核细胞计数,lab_normalized,standardNormalizedQuantitative,reference-interval normalized quantitative value,单核细胞计数参考区间归一化结果
lab_measured_monocyte_to_lymphocyte_ratio,单核细胞/淋巴细胞比值,lab_measured,laboratoryName,"laboratory record present=1, absent=0",是否测量单核细胞/淋巴细胞比值
lab_value_monocyte_to_lymphocyte_ratio,单核细胞/淋巴细胞比值,lab_value,standardResultNorm -> standardResult,numeric standardResultNorm; numeric standardResult fallback,单核细胞/淋巴细胞比值标准化数值结果
lab_measured_mycoplasma_pneumoniae_igm_antibody,肺炎支原体抗体.IgM,lab_measured,laboratoryName,"laboratory record present=1, absent=0",是否测量肺炎支原体抗体.IgM
lab_value_mycoplasma_pneumoniae_igm_antibody,肺炎支原体抗体.IgM,lab_value,standardResultNorm -> standardResult,numeric standardResultNorm; numeric standardResult fallback,肺炎支原体抗体.IgM标准化数值结果
lab_positive_mycoplasma_pneumoniae_igm_antibody,肺炎支原体抗体.IgM,lab_positive,standardResultNorm / abnormal,"positive=1, negative=0, unmeasured=missing",肺炎支原体抗体.IgM定性结果是否阳性
lab_measured_neutrophil_count,中性粒细胞计数,lab_measured,laboratoryName,"laboratory record present=1, absent=0",是否测量中性粒细胞计数
lab_value_neutrophil_count,中性粒细胞计数,lab_value,standardResultNorm -> standardResult,numeric standardResultNorm; numeric standardResult fallback,中性粒细胞计数标准化数值结果
lab_normalized_neutrophil_count,中性粒细胞计数,lab_normalized,standardNormalizedQuantitative,reference-interval normalized quantitative value,中性粒细胞计数参考区间归一化结果
lab_measured_neutrophil_to_lymphocyte_ratio,中性粒细胞/淋巴细胞比值,lab_measured,laboratoryName,"laboratory record present=1, absent=0",是否测量中性粒细胞/淋巴细胞比值
lab_value_neutrophil_to_lymphocyte_ratio,中性粒细胞/淋巴细胞比值,lab_value,standardResultNorm -> standardResult,numeric standardResultNorm; numeric standardResult fallback,中性粒细胞/淋巴细胞比值标准化数值结果
lab_measured_platelet_count,血小板计数,lab_measured,laboratoryName,"laboratory record present=1, absent=0",是否测量血小板计数
lab_value_platelet_count,血小板计数,lab_value,standardResultNorm -> standardResult,numeric standardResultNorm; numeric standardResult fallback,血小板计数标准化数值结果
lab_normalized_platelet_count,血小板计数,lab_normalized,standardNormalizedQuantitative,reference-interval normalized quantitative value,血小板计数参考区间归一化结果
lab_measured_platelet_distribution_width,血小板分布宽度,lab_measured,laboratoryName,"laboratory record present=1, absent=0",是否测量血小板分布宽度
lab_value_platelet_distribution_width,血小板分布宽度,lab_value,standardResultNorm -> standardResult,numeric standardResultNorm; numeric standardResult fallback,血小板分布宽度标准化数值结果
lab_normalized_platelet_distribution_width,血小板分布宽度,lab_normalized,standardNormalizedQuantitative,reference-interval normalized quantitative value,血小板分布宽度参考区间归一化结果
lab_measured_platelet_to_lymphocyte_ratio,血小板/淋巴细胞比值,lab_measured,laboratoryName,"laboratory record present=1, absent=0",是否测量血小板/淋巴细胞比值
lab_value_platelet_to_lymphocyte_ratio,血小板/淋巴细胞比值,lab_value,standardResultNorm -> standardResult,numeric standardResultNorm; numeric standardResult fallback,血小板/淋巴细胞比值标准化数值结果
lab_measured_serum_amyloid_a,淀粉样蛋白A,lab_measured,laboratoryName,"laboratory record present=1, absent=0",是否测量淀粉样蛋白A
lab_value_serum_amyloid_a,淀粉样蛋白A,lab_value,standardResultNorm -> standardResult,numeric standardResultNorm; numeric standardResult fallback,淀粉样蛋白A标准化数值结果
lab_normalized_serum_amyloid_a,淀粉样蛋白A,lab_normalized,standardNormalizedQuantitative,reference-interval normalized quantitative value,淀粉样蛋白A参考区间归一化结果
lab_measured_systemic_immune_inflammation_index,系统性免疫炎症指数,lab_measured,laboratoryName,"laboratory record present=1, absent=0",是否测量系统性免疫炎症指数
lab_value_systemic_immune_inflammation_index,系统性免疫炎症指数,lab_value,standardResultNorm -> standardResult,numeric standardResultNorm; numeric standardResult fallback,系统性免疫炎症指数标准化数值结果
lab_measured_systemic_inflammation_response_index,系统性炎症反应指数,lab_measured,laboratoryName,"laboratory record present=1, absent=0",是否测量系统性炎症反应指数
lab_value_systemic_inflammation_response_index,系统性炎症反应指数,lab_value,standardResultNorm -> standardResult,numeric standardResultNorm; numeric standardResult fallback,系统性炎症反应指数标准化数值结果
lab_measured_white_blood_cell_count,白细胞计数,lab_measured,laboratoryName,"laboratory record present=1, absent=0",是否测量白细胞计数
lab_value_white_blood_cell_count,白细胞计数,lab_value,standardResultNorm -> standardResult,numeric standardResultNorm; numeric standardResult fallback,白细胞计数标准化数值结果
lab_normalized_white_blood_cell_count,白细胞计数,lab_normalized,standardNormalizedQuantitative,reference-interval normalized quantitative value,白细胞计数参考区间归一化结果
